text,drug,effect,indexes
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Calcipotriol,irritation of the skin,"{'drug': {'start_char': [0], 'end_char': [12]}, 'effect': {'start_char': [78], 'end_char': [100]}}"
"The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.",calcipotriol,irritant type of reaction,"{'drug': {'start_char': [232], 'end_char': [244]}, 'effect': {'start_char': [185], 'end_char': [210]}}"
Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,pravastatin,Myotonia,"{'drug': {'start_char': [63], 'end_char': [74]}, 'effect': {'start_char': [0], 'end_char': [8]}}"
Pravastatin is associated with myotonia in animals.,Pravastatin,myotonia,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [31], 'end_char': [39]}}"
"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",pravastatin,myotonia,"{'drug': {'start_char': [40], 'end_char': [51]}, 'effect': {'start_char': [97, 171], 'end_char': [105, 179]}}"
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,angioedema,"{'drug': {'start_char': [20], 'end_char': [27]}, 'effect': {'start_char': [80], 'end_char': [90]}}"
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,systemic anaphylactoid reaction,"{'drug': {'start_char': [20], 'end_char': [27]}, 'effect': {'start_char': [97], 'end_char': [128]}}"
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,urticaria,"{'drug': {'start_char': [20], 'end_char': [27]}, 'effect': {'start_char': [63], 'end_char': [72]}}"
CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,omeprazole,eruption,"{'drug': {'start_char': [101], 'end_char': [111]}, 'effect': {'start_char': [23], 'end_char': [31]}}"
Fixed drug eruption in hands caused by omeprazole.,omeprazole,eruption,"{'drug': {'start_char': [39], 'end_char': [49]}, 'effect': {'start_char': [11], 'end_char': [19]}}"
The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,omeprazole,eruption,"{'drug': {'start_char': [95], 'end_char': [105]}, 'effect': {'start_char': [65], 'end_char': [73]}}"
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,diffuse erythema,"{'drug': {'start_char': [248], 'end_char': [267]}, 'effect': {'start_char': [121], 'end_char': [137]}}"
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,fever up to 39 degrees C,"{'drug': {'start_char': [248], 'end_char': [267]}, 'effect': {'start_char': [187], 'end_char': [211]}}"
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,malaise,"{'drug': {'start_char': [248], 'end_char': [267]}, 'effect': {'start_char': [174], 'end_char': [181]}}"
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,pustules,"{'drug': {'start_char': [248], 'end_char': [267]}, 'effect': {'start_char': [142], 'end_char': [150]}}"
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,salazosulfapyridine,Acute generalized exanthematous pustulosis,"{'drug': {'start_char': [54], 'end_char': [73]}, 'effect': {'start_char': [0], 'end_char': [42]}}"
We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,salazosulfapyridine,acute generalized exanthematous pustulosis,"{'drug': {'start_char': [81], 'end_char': [100]}, 'effect': {'start_char': [20], 'end_char': [62]}}"
CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,olanzapine,elevated serum CK concentration,"{'drug': {'start_char': [72], 'end_char': [82]}, 'effect': {'start_char': [96], 'end_char': [127]}}"
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",Olanzapine,muscle injury with concomitant elevations of serum CK,"{'drug': {'start_char': [12], 'end_char': [22]}, 'effect': {'start_char': [75], 'end_char': [128]}}"
Marked elevation of serum creatine kinase associated with olanzapine therapy.,olanzapine,elevation of serum creatine kinase,"{'drug': {'start_char': [58], 'end_char': [68]}, 'effect': {'start_char': [7], 'end_char': [41]}}"
OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,olanzapine,elevation of serum creatine kinase,"{'drug': {'start_char': [94], 'end_char': [104]}, 'effect': {'start_char': [38], 'end_char': [72]}}"
Diclofenac-associated hepatitis.,Diclofenac,hepatitis,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [22], 'end_char': [31]}}"
"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",diclofenac,hepatitis,"{'drug': {'start_char': [103], 'end_char': [113]}, 'effect': {'start_char': [62], 'end_char': [71]}}"
"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",2-CdA,lymphocytopenia,"{'drug': {'start_char': [0], 'end_char': [5]}, 'effect': {'start_char': [14], 'end_char': [29]}}"
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,heparin,priapism,"{'drug': {'start_char': [37], 'end_char': [44]}, 'effect': {'start_char': [12], 'end_char': [20]}}"
Priapism as a complication of heparin therapy.,heparin,Priapism,"{'drug': {'start_char': [30], 'end_char': [37]}, 'effect': {'start_char': [0], 'end_char': [8]}}"
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,heparin,abnormal platelet aggregation,"{'drug': {'start_char': [24], 'end_char': [31]}, 'effect': {'start_char': [66], 'end_char': [95]}}"
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,heparin,priapism,"{'drug': {'start_char': [24], 'end_char': [31]}, 'effect': {'start_char': [36], 'end_char': [44]}}"
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",clozapine,agranulocytosis,"{'drug': {'start_char': [117], 'end_char': [126]}, 'effect': {'start_char': [48], 'end_char': [63]}}"
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",clozapine,neutropenia,"{'drug': {'start_char': [117], 'end_char': [126]}, 'effect': {'start_char': [32], 'end_char': [43]}}"
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",clozapine,diurnal variation of the white blood cells,"{'drug': {'start_char': [60], 'end_char': [69]}, 'effect': {'start_char': [121], 'end_char': [163]}}"
Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,all-trans-retinoic acid,Acute neutrophilic dermatosis,"{'drug': {'start_char': [41], 'end_char': [64]}, 'effect': {'start_char': [0], 'end_char': [29]}}"
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,paroxetine,hair loss,"{'drug': {'start_char': [113], 'end_char': [123]}, 'effect': {'start_char': [78], 'end_char': [87]}}"
Hair loss associated with paroxetine treatment: a case report.,paroxetine,Hair loss,"{'drug': {'start_char': [26], 'end_char': [36]}, 'effect': {'start_char': [0], 'end_char': [9]}}"
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,paroxetine,hair loss,"{'drug': {'start_char': [78], 'end_char': [88]}, 'effect': {'start_char': [61], 'end_char': [70]}}"
"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",insulin,protamine allergy,"{'drug': {'start_char': [26], 'end_char': [33]}, 'effect': {'start_char': [170], 'end_char': [187]}}"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,angioedema,"{'drug': {'start_char': [30, 131], 'end_char': [37, 138]}, 'effect': {'start_char': [76], 'end_char': [86]}}"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,angioedema,"{'drug': {'start_char': [30, 131], 'end_char': [37, 138]}, 'effect': {'start_char': [76], 'end_char': [86]}}"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,severe urticaria,"{'drug': {'start_char': [30, 131], 'end_char': [37, 138]}, 'effect': {'start_char': [58], 'end_char': [74]}}"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,severe urticaria,"{'drug': {'start_char': [30, 131], 'end_char': [37, 138]}, 'effect': {'start_char': [58], 'end_char': [74]}}"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,wheezing,"{'drug': {'start_char': [30, 131], 'end_char': [37, 138]}, 'effect': {'start_char': [103], 'end_char': [111]}}"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,wheezing,"{'drug': {'start_char': [30, 131], 'end_char': [37, 138]}, 'effect': {'start_char': [103], 'end_char': [111]}}"
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",insulin,allergic symptoms,"{'drug': {'start_char': [85, 114, 217], 'end_char': [92, 121, 224]}, 'effect': {'start_char': [153], 'end_char': [170]}}"
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",NPH insulin,allergic symptoms,"{'drug': {'start_char': [81], 'end_char': [92]}, 'effect': {'start_char': [153], 'end_char': [170]}}"
Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity.,neutral protamine Hagedorn (NPH) insulin,protamine hypersensitivity,"{'drug': {'start_char': [], 'end_char': []}, 'effect': {'start_char': [105], 'end_char': [131]}}"
Protamine allergy as a complication of insulin hypersensitivity: A case report.,insulin,Protamine allergy,"{'drug': {'start_char': [39], 'end_char': [46]}, 'effect': {'start_char': [0], 'end_char': [17]}}"
She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.,insulin,hives,"{'drug': {'start_char': [33], 'end_char': [40]}, 'effect': {'start_char': [105], 'end_char': [110]}}"
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",insulin,angioedema,"{'drug': {'start_char': [151], 'end_char': [158]}, 'effect': {'start_char': [44], 'end_char': [54]}}"
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",NPH,angioedema,"{'drug': {'start_char': [99], 'end_char': [102]}, 'effect': {'start_char': [44], 'end_char': [54]}}"
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",insulin,urticaria,"{'drug': {'start_char': [151], 'end_char': [158]}, 'effect': {'start_char': [30], 'end_char': [39]}}"
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",NPH,urticaria,"{'drug': {'start_char': [99], 'end_char': [102]}, 'effect': {'start_char': [30], 'end_char': [39]}}"
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,brimonidine,lethargic,"{'drug': {'start_char': [86], 'end_char': [97]}, 'effect': {'start_char': [28], 'end_char': [37]}}"
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,brimonidine,poorly responsive,"{'drug': {'start_char': [86], 'end_char': [97]}, 'effect': {'start_char': [42], 'end_char': [59]}}"
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,brimonidine,apneic,"{'drug': {'start_char': [72], 'end_char': [83]}, 'effect': {'start_char': [42], 'end_char': [48]}}"
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,brimonidine,lethargic,"{'drug': {'start_char': [72], 'end_char': [83]}, 'effect': {'start_char': [28], 'end_char': [37]}}"
Apparent central nervous system depression in infants after the use of topical brimonidine.,brimonidine,central nervous system depression,"{'drug': {'start_char': [79], 'end_char': [90]}, 'effect': {'start_char': [9], 'end_char': [42]}}"
CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.,brimonidine,central nervous system depression,"{'drug': {'start_char': [21], 'end_char': [32]}, 'effect': {'start_char': [56], 'end_char': [89]}}"
PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.,brimonidine,central nervous system depression,"{'drug': {'start_char': [46], 'end_char': [57]}, 'effect': {'start_char': [79], 'end_char': [112]}}"
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ceftriaxone,elevated hepato-biliary enzymes,"{'drug': {'start_char': [126], 'end_char': [137]}, 'effect': {'start_char': [143], 'end_char': [174]}}"
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ceftriaxone,transient biliary stasis,"{'drug': {'start_char': [126], 'end_char': [137]}, 'effect': {'start_char': [179], 'end_char': [203]}}"
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,ceftriaxone,Hepato-biliary abnormalities,"{'drug': {'start_char': [42], 'end_char': [53]}, 'effect': {'start_char': [0], 'end_char': [28]}}"
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,methotrexate,Anterior lumbosacral radiculopathy,"{'drug': {'start_char': [53], 'end_char': [65]}, 'effect': {'start_char': [0], 'end_char': [34]}}"
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,methotrexate,progressive paraparesis,"{'drug': {'start_char': [84], 'end_char': [96]}, 'effect': {'start_char': [42], 'end_char': [65]}}"
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",arsenic trioxide,decrease in the D-dimers,"{'drug': {'start_char': [25], 'end_char': [41]}, 'effect': {'start_char': [60], 'end_char': [84]}}"
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",arsenic trioxide,slight decrease in peripheral blood leukocytes,"{'drug': {'start_char': [25], 'end_char': [41]}, 'effect': {'start_char': [147], 'end_char': [193]}}"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,chills,"{'drug': {'start_char': [165], 'end_char': [176]}, 'effect': {'start_char': [41], 'end_char': [47]}}"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,fatigue,"{'drug': {'start_char': [165], 'end_char': [176]}, 'effect': {'start_char': [49], 'end_char': [56]}}"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,fever,"{'drug': {'start_char': [165], 'end_char': [176]}, 'effect': {'start_char': [34], 'end_char': [39]}}"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,"generalized, pruritic, macular eruption","{'drug': {'start_char': [165], 'end_char': [176]}, 'effect': {'start_char': [102], 'end_char': [141]}}"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,night sweats,"{'drug': {'start_char': [165], 'end_char': [176]}, 'effect': {'start_char': [58], 'end_char': [70]}}"
"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.", minocycline,mononucleosis-like syndrome,"{'drug': {'start_char': [139], 'end_char': [151]}, 'effect': {'start_char': [96], 'end_char': [123]}}"
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,5-FU,life-threatening toxicity,"{'drug': {'start_char': [77], 'end_char': [81]}, 'effect': {'start_char': [171], 'end_char': [196]}}"
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,5-FU,life-threatening complications,"{'drug': {'start_char': [119], 'end_char': [123]}, 'effect': {'start_char': [59], 'end_char': [89]}}"
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,venlafaxine,acute ischaemic event,"{'drug': {'start_char': [52], 'end_char': [63]}, 'effect': {'start_char': [3], 'end_char': [24]}}"
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,venlafaxine,ischaemic events,"{'drug': {'start_char': [19], 'end_char': [30]}, 'effect': {'start_char': [46], 'end_char': [62]}}"
This is the first report of a possible association between an acute cardiovascular event and venlafaxine.,venlafaxine,acute cardiovascular event,"{'drug': {'start_char': [93], 'end_char': [104]}, 'effect': {'start_char': [62], 'end_char': [88]}}"
"We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.",venlafaxine,acute myocardial ischaemia,"{'drug': {'start_char': [115], 'end_char': [126]}, 'effect': {'start_char': [142], 'end_char': [168]}}"
